央视频道,#genre#


CCTV1,http://majian.ixiaobai.net:58888/rtp/239.37.0.8:5540#http://majian.ixiaobai.net:58888/rtp/239.37.0.152:5540
CCTV2,http://majian.ixiaobai.net:58888/rtp/239.37.0.3:5540
CCTV3,http://majian.ixiaobai.net:58888/rtp/239.37.0.231:5540
CCTV4,http://218.13.167.110:9901/tsfile/live/0004_1.m3u8
CCTV5,http://majian.ixiaobai.net:58888/rtp/239.37.0.232:5540
CCTV5+,http://majian.ixiaobai.net:58888/rtp/239.37.0.121:5540
CCTV6,http://majian.ixiaobai.net:58888/rtp/239.37.0.233:5540
CCTV7,http://majian.ixiaobai.net:58888/rtp/239.37.0.2:5540
CCTV8,http://majian.ixiaobai.net:58888/rtp/239.37.0.234:5540
CCTV9,http://majian.ixiaobai.net:58888/rtp/239.37.0.1:5540
CCTV10,http://majian.ixiaobai.net:58888/rtp/239.37.0.7:5540
CCTV11,http://majian.ixiaobai.net:58888/rtp/239.37.0.227:5540
CCTV12,http://majian.ixiaobai.net:58888/rtp/239.37.0.6:5540
CCTV13,http://218.13.167.110:9901/tsfile/live/0013_1.m3u8
CCTV14,http://majian.ixiaobai.net:58888/rtp/239.37.0.5:5540
CCTV15,http://218.13.167.110:9901/tsfile/live/0015_1.m3u8
CCTV16,http://majian.ixiaobai.net:58888/rtp/239.37.1.21:5540#http://majian.ixiaobai.net:58888/rtp/239.37.1.22:5540
CCTV17,http://majian.ixiaobai.net:58888/rtp/239.37.0.2:5540
卫视健康,http://majian.ixiaobai.net:58888/rtp/239.37.0.229:5540
中国交通,http://majian.ixiaobai.net:58888/rtp/239.37.0.226:5540
高尔夫网球,http://majian.ixiaobai.net:58888/rtp/239.37.0.230:5540
CCTV4欧洲,http://www.lizhinas.top:1009/rtp/239.252.219.192:5140
CCTV4美洲,http://www.lizhinas.top:1009/rtp/239.252.219.193:5140
第一剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140
电视指南,http://www.lizhinas.top:1009/rtp/239.252.219.97:5140
风云剧场,http://www.lizhinas.top:1009/rtp/239.252.219.89:5140
风云音乐,http://www.lizhinas.top:1009/rtp/239.252.219.87:5140
风云足球,http://www.lizhinas.top:1009/rtp/239.252.219.96:5140
高尔夫网球,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140
怀旧剧场,http://www.lizhinas.top:1009/rtp/239.252.219.90:5140
女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140
央视台球,http://www.lizhinas.top:1009/rtp/239.252.219.80:5140
文化精品,http://www.lizhinas.top:1009/rtp/239.252.219.81:5140
CETV1,http://www.lizhinas.top:1009/rtp/239.252.220.198:5140

CCTV少儿,http://60.223.255.143:8800/hls/14/index.m3u8
CCTV精品,http://60.223.255.143:8800/hls/42/index.m3u8
卫视频道,#genre#
北京卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.9:5540
天津卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.4:5540
安徽卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.159:5540
东方卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.123:5540
