🇨🇳央视频道,#genre#
CCTV-1,https://60.191.56.186:8888/hls/1/index.m3u8
CCTV-2,https://60.191.56.186:8888/hls/2/index.m3u8
CCTV-3,https://60.191.56.186:8888/hls/3/index.m3u8
CCTV-4,https://60.191.56.186:8888/hls/4/index.m3u8
CCTV-5,https://60.191.56.186:8888/hls/5/index.m3u8
CCTV-5+,https://60.191.56.186:8888/hls/15/index.m3u8
CCTV-6,https://60.191.56.186:8888/hls/6/index.m3u8
CCTV-7,https://60.191.56.186:8888/hls/7/index.m3u8
CCTV-8,https://60.191.56.186:8888/hls/8/index.m3u8
CCTV-9,https://60.191.56.186:8888/hls/9/index.m3u8
CCTV-10,https://60.191.56.186:8888/hls/10/index.m3u8
CCTV-11,https://60.191.56.186:8888/hls/11/index.m3u8
CCTV-12,https://60.191.56.186:8888/hls/12/index.m3u8
CCTV-13,https://60.191.56.186:8888/hls/13/index.m3u8
CCTV-15,https://60.191.56.186:8888/hls/14/index.m3u8
CCTV-16,https://60.191.56.186:8888/hls/16/index.m3u8

CCTV-1,http://27.46.65.9:17088/udp/239.0.1.3:8008
CCTV-2,http://27.46.65.9:17088/udp/239.0.1.4:8084
CCTV-3,http://27.46.65.9:17088/udp/239.0.1.177:6037
CCTV-4,http://27.46.65.9:17088/udp/239.0.1.180:6040
CCTV-5,http://27.46.65.9:17088/udp/239.0.1.175:6035
CCTV-5+,http://27.46.65.9:17088/udp/239.0.1.101:8004
CCTV-6,http://27.46.65.9:17088/udp/239.0.1.176:6036
CCTV-7,http://27.46.65.9:17088/udp/239.0.1.96:8104
CCTV-8,http://27.46.65.9:17088/udp/239.0.1.174:6034
CCTV-9,http://27.46.65.9:17088/udp/239.0.1.97:8112
CCTV-10,http://27.46.65.9:17088/udp/239.0.1.98:8116
CCTV-12,http://27.46.65.9:17088/udp/239.0.1.99:8124
CCTV-14,http://27.46.65.9:17088/udp/239.0.1.100:8132
CCTV1,http://majian.ixiaobai.net:58888/rtp/239.37.0.8:5540#http://majian.ixiaobai.net:58888/rtp/239.37.0.152:5540
CCTV2,http://majian.ixiaobai.net:58888/rtp/239.37.0.3:5540
CCTV3,http://majian.ixiaobai.net:58888/rtp/239.37.0.231:5540
CCTV4,http://218.13.167.110:9901/tsfile/live/0004_1.m3u8
CCTV5,http://majian.ixiaobai.net:58888/rtp/239.37.0.232:5540
CCTV5+,http://majian.ixiaobai.net:58888/rtp/239.37.0.121:5540
CCTV6,http://majian.ixiaobai.net:58888/rtp/239.37.0.233:5540
CCTV7,http://majian.ixiaobai.net:58888/rtp/239.37.0.2:5540
CCTV8,http://majian.ixiaobai.net:58888/rtp/239.37.0.234:5540
CCTV9,http://majian.ixiaobai.net:58888/rtp/239.37.0.1:5540
CCTV10,http://majian.ixiaobai.net:58888/rtp/239.37.0.7:5540
CCTV11,http://majian.ixiaobai.net:58888/rtp/239.37.0.227:5540
CCTV12,http://majian.ixiaobai.net:58888/rtp/239.37.0.6:5540
CCTV13,http://218.13.167.110:9901/tsfile/live/0013_1.m3u8
CCTV14,http://majian.ixiaobai.net:58888/rtp/239.37.0.5:5540
CCTV15,http://218.13.167.110:9901/tsfile/live/0015_1.m3u8
CCTV16,http://majian.ixiaobai.net:58888/rtp/239.37.1.21:5540#http://majian.ixiaobai.net:58888/rtp/239.37.1.22:5540
CCTV17,http://majian.ixiaobai.net:58888/rtp/239.37.0.2:5540
卫视健康,http://majian.ixiaobai.net:58888/rtp/239.37.0.229:5540
中国交通,http://majian.ixiaobai.net:58888/rtp/239.37.0.226:5540
高尔夫网球,http://majian.ixiaobai.net:58888/rtp/239.37.0.230:5540
CCTV4欧洲,http://www.lizhinas.top:1009/rtp/239.252.219.192:5140
CCTV4美洲,http://www.lizhinas.top:1009/rtp/239.252.219.193:5140
第一剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140
电视指南,http://www.lizhinas.top:1009/rtp/239.252.219.97:5140
风云剧场,http://www.lizhinas.top:1009/rtp/239.252.219.89:5140
风云音乐,http://www.lizhinas.top:1009/rtp/239.252.219.87:5140
风云足球,http://www.lizhinas.top:1009/rtp/239.252.219.96:5140
高尔夫网球,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140
怀旧剧场,http://www.lizhinas.top:1009/rtp/239.252.219.90:5140
女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140
