山西电信频道,#genre#
频道1,http://123.115.204.104:7151/hls/1/index.m3u8
频道2,http://123.115.204.104:7151/hls/2/index.m3u8
频道3,http://123.115.204.104:7151/hls/3/index.m3u8
频道4,http://123.115.204.104:7151/hls/4/index.m3u8
频道5,http://123.115.204.104:7151/hls/5/index.m3u8
频道6,http://123.115.204.104:7151/hls/6/index.m3u8
频道7,http://123.115.204.104:7151/hls/7/index.m3u8
频道8,http://123.115.204.104:7151/hls/8/index.m3u8
频道9,http://123.115.204.104:7151/hls/9/index.m3u8
频道10,http://123.115.204.104:7151/hls/10/index.m3u8
频道11,http://123.115.204.104:7151/hls/11/index.m3u8
频道12,http://123.115.204.104:7151/hls/12/index.m3u8
频道13,http://123.115.204.104:7151/hls/13/index.m3u8
频道14,http://123.115.204.104:7151/hls/14/index.m3u8
频道15,http://123.115.204.104:7151/hls/15/index.m3u8
CCTV16,http://183.3.202.19:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-16_4000.m3u8
CCTV17,http://183.3.202.19:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-17_4000.m3u8
频道16,http://123.115.204.104:7151/hls/16/index.m3u8
频道17,http://123.115.204.104:7151/hls/17/index.m3u8
频道18,http://123.115.204.104:7151/hls/18/index.m3u8
频道19,http://123.115.204.104:7151/hls/19/index.m3u8
频道20,http://123.115.204.104:7151/hls/20/index.m3u8
频道21,http://m.061899.xyz/mg/hnws
频道22,http://123.115.204.104:7151/hls/22/index.m3u8
频道23,http://123.115.204.104:7151/hls/23/index.m3u8
频道24,http://123.115.204.104:7151/hls/24/index.m3u8
频道25,http://123.115.204.104:7151/hls/25/index.m3u8
频道26,http://123.115.204.104:7151/hls/26/index.m3u8
频道27,http://123.115.204.104:7151/hls/27/index.m3u8
频道28,http://123.115.204.104:7151/hls/28/index.m3u8
频道29,http://123.115.204.104:7151/hls/29/index.m3u8
频道30,http://123.115.204.104:7151/hls/30/index.m3u8
频道31,http://123.115.204.104:7151/hls/31/index.m3u8
频道32,http://123.115.204.104:7151/hls/32/index.m3u8
频道33,http://123.115.204.104:7151/hls/33/index.m3u8
频道34,http://123.115.204.104:7151/hls/34/index.m3u8
频道35,http://123.115.204.104:7151/hls/35/index.m3u8
频道36,http://123.115.204.104:7151/hls/36/index.m3u8
频道37,http://123.115.204.104:7151/hls/37/index.m3u8
陕西卫视,http://www.kaniptv.cn/mk.php?ip=node-111-20-163-124.speedtest.cn:8001&id=shxws
东南卫视,http://183.3.202.19:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226991/1.m3u8
河南卫视,http://m.061899.xyz/mg/hnws
陕西卫视2,http://124.238.251.36:2380/hw1live.rxip.sc96655.com.huan.tv/live/sxws_4000.m3u8

陕西卫视1,http://m.061899.xyz/mg/sxws
西藏卫视,http://m.061899.xyz/mg/xzws
黑龙江卫视,http://m.061899.xyz/mg/hljws
频道39,http://123.115.204.104:7151/hls/39/index.m3u8
频道40,http://123.115.204.104:7151/hls/40/index.m3u8
频道41,http://123.115.204.104:7151/hls/41/index.m3u8
频道42,http://123.115.204.104:7151/hls/42/index.m3u8

海南卫视,http://m.061899.xyz/mg/hinws
甘肃卫视,http://m.061899.xyz/mg/gsws
青海卫视,http://m.061899.xyz/mg/qhws

宁夏卫视,http://m.061899.xyz/mg/nxws
新疆卫视,http://183.3.202.19:2380/hw1live.rxip.sc96655.com.huan.tv/live/xjws_4000.m3u8

兵团卫视,http://m.061899.xyz/mg/btws
吉林卫视,http://m.061899.xyz/mg/jlws
内蒙古卫视,http://m.061899.xyz/mg/nmgws


频道43,http://123.115.204.104:7151/hls/43/index.m3u8
频道44,http://123.115.204.104:7151/hls/44/index.m3u8
频道45,http://123.115.204.104:7151/hls/45/index.m3u8
频道46,http://123.115.204.104:7151/hls/46/index.m3u8
频道47,http://123.115.204.104:7151/hls/47/index.m3u8
频道48,http://123.115.204.104:7151/hls/48/index.m3u8
频道49,http://123.115.204.104:7151/hls/49/index.m3u8
频道50,http://123.115.204.104:7151/hls/50/index.m3u8




山东卫视,http://218.56.123.244:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东文旅,http://218.56.123.244:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
山东生活频道,http://218.56.123.244:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
山东综艺频道, http://218.56.123.244:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
