自用频道,#genre#
央视频道
CCTV-01,http://goo.bkpcp.top/mg/cctv1
CCTV-02,http://goo.bkpcp.top/mg/cctv2
CCTV-03,http://goo.bkpcp.top/mg/cctv3
CCTV-04,http://goo.bkpcp.top/mg/cctv4
CCTV-05,http://goo.bkpcp.top/mg/cctv5
CCTV-5+,http://goo.bkpcp.top/mg/cctv5p
CCTV-06,http://goo.bkpcp.top/mg/cctv6
CCTV-07,http://goo.bkpcp.top/mg/cctv7
CCTV-08,http://goo.bkpcp.top/mg/cctv8
CCTV-09,http://goo.bkpcp.top/mg/cctv9
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://goo.bkpcp.top/mg/cctv11
CCTV-12,http://goo.bkpcp.top/mg/cctv12
CCTV-13,http://goo.bkpcp.top/mg/cctv13
CCTV-14,http://goo.bkpcp.top/mg/cctv14
CCTV-15,http://goo.bkpcp.top/mg/cctv15
CCTV-16,http://goo.bkpcp.top/mg/cctv16
CCTV-17,http://goo.bkpcp.top/mg/cctv17
CCTV4欧洲,http://goo.bkpcp.top/mg/cctv4o
CCTV4美洲,http://goo.bkpcp.top/mg/cctv4m
CGTN,http://goo.bkpcp.top/mg/cgtn
CGTN纪录,http://goo.bkpcp.top/mg/cgtnd
CGTN西语,http://goo.bkpcp.top/mg/cgtne
CGTN法语,http://goo.bkpcp.top/mg/cgtnf
CGTN俄语,http://goo.bkpcp.top/mg/cgtnp
CGTN阿语,http://goo.bkpcp.top/mg/cgtna
家庭影院,http://goo.bkpcp.top/mg/chcjt

CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8

卫视频道
北京卫视,http://goo.bkpcp.top/mg/bjws
东方卫视,http://goo.bkpcp.top/mg/dfws
天津卫视,http://goo.bkpcp.top/mg/tjws
重庆卫视,http://goo.bkpcp.top/mg/cqws
安徽卫视,http://ylt.7766.org:333/hls/46/index.m3u8
深圳卫视,http://ylt.7766.org:333/hls/41/index.m3u8
山东卫视,http://ylt.7766.org:333/hls/42/index.m3u8
湖南卫视,http://ylt.7766.org:333/hls/35/index.m3u8
四川卫视,http://ylt.7766.org:333/hls/48/index.m3u8
安徽卫视高清,http://111.43.126.240:9003/hls/43/index.m3u8
山东卫视高清,http://111.43.126.240:9003/hls/48/index.m3u8
浙江卫视,http://goo.bkpcp.top/mg/zjws
江苏卫视,http://goo.bkpcp.top/mg/jsws
安徽卫视,http://goo.bkpcp.top/mg/ahws
山东卫视,http://goo.bkpcp.top/mg/sdws
云南卫视,https://hwapi.yntv.net/62hdvf/nqyn7w.m3u8
云南卫视,https://hwapi.yntv.cn/62hdvf/nqyn7w.m3u8
广东卫视,http://goo.bkpcp.top/mg/gdws
深圳卫视,http://goo.bkpcp.top/mg/szws
东南卫视,http://goo.bkpcp.top/mg/dnws
江西卫视,http://goo.bkpcp.top/mg/jxws

山西卫视,http://goo.bkpcp.top/mg/sxiws
河北卫视,http://goo.bkpcp.top/mg/hbws
河南卫视,http://goo.bkpcp.top/mg/hnws
湖北卫视,http://goo.bkpcp.top/mg/hubws
湖南卫视,http://goo.bkpcp.top/mg/hunws
陕西卫视,http://goo.bkpcp.top/mg/sxws
四川卫视,http://goo.bkpcp.top/mg/scws
贵州卫视,http://goo.bkpcp.top/mg/gzws
云南卫视,http://goo.bkpcp.top/mg/ynws
广西卫视,http://goo.bkpcp.top/mg/gxws
海南卫视,http://goo.bkpcp.top/mg/hinws

内蒙古卫视,http://goo.bkpcp.top/mg/nmgws
甘肃卫视,http://goo.bkpcp.top/mg/gsws
宁夏卫视,http://goo.bkpcp.top/mg/nxws
青海卫视,http://goo.bkpcp.top/mg/qhws
新疆卫视,http://goo.bkpcp.top/mg/xjws
西藏卫视,http://goo.bkpcp.top/mg/xzws

黑龙江卫视,http://goo.bkpcp.top/mg/hljws
吉林卫视,http://goo.bkpcp.top/mg/jlws
辽宁卫视,http://goo.bkpcp.top/mg/lnws

大湾区卫视,http://goo.bkpcp.top/mg/dwqws
厦门卫视,http://goo.bkpcp.top/mg/xmws
兵团卫视,http://goo.bkpcp.top/mg/btws
安多卫视,http://goo.bkpcp.top/mg/adws

CETV1,http://goo.bkpcp.top/mg/cetv1
CETV2,http://goo.bkpcp.top/mg/cetv2
CETV4,http://goo.bkpcp.top/mg/cetv4

浙江频道,#genre#
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8

内蒙频道,#genre#
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/3208526general.m3u8?txSecret=eb5a3102dd5406c7ffeddf560b024952&txTime=76B2F9A0
内蒙新闻综合,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=b4373417a82ed64e52b0982a66da8df2&txTime=771E8800
内蒙经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=112b2c4c872de52b0f37aff6ead63ef0&txTime=771E8800
内蒙少儿频道,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=a2c948908728a0733cecbe1fadea23dc&txTime=771E8800
内蒙文体娱乐,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=c7b5c515d2bb6df442492d54955329a3&txTime=771E8800
内蒙农牧频道,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=4d368a175afa19737a9f5be10af24fe2&txTime=771E8800
蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=4971666599ef9411629213c9a300bf66&txTime=771EF880
蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=d9d0fd7a252ef56b515c46a2e21830f4&txTime=771E8800
呼市新闻综合,https://livestream-bt.nmtv.cn/nmtv/2331general.m3u8?txSecret=4d7342ca5cd74480526ab6d292247aff&txTime=771E8800
包头新闻综合,https://livestream-bt.nmtv.cn/nmtv/2358general.m3u8?txSecret=98390a77c143a68f0fd64bfe6e181dcb&txTime=771E8800
鄂尔多斯新闻,https://livestream-bt.nmtv.cn/nmtv/2349general.m3u8?txSecret=e44477052aba305cadeea45aaf1c674a&txTime=771E8800
巴彦淖尔新闻,https://livestream-bt.nmtv.cn/nmtv/2348general.m3u8?txSecret=6a4ddce077e41b976fe33619fbef2b30&txTime=771E8800
赤峰新闻综合,https://livestream-bt.nmtv.cn/nmtv/2351general.m3u8?txSecret=8857087aeec2cec44d178a18550fdb8a&txTime=771E8800
乌兰察布新闻,https://livestream-bt.nmtv.cn/nmtv/2354general.m3u8?txSecret=cf5f71d0000862b18f5813607b3dfd5b&txTime=771E8800
