🇨🇳央视频道,#genre#

CCTV1,http://kent.dzzkent.top:4022/udp/234.1.3.171:5000
CCTV2,http://kent.dzzkent.top:4022/udp/234.1.3.173:5000
CCTV3,http://kent.dzzkent.top:4022/udp/234.1.2.204:5001
CCTV4,http://kent.dzzkent.top:4022/udp/234.1.3.161:5000
CCTV5,http://kent.dzzkent.top:4022/udp/234.1.2.205:5001
CCTV6,http://kent.dzzkent.top:4022/udp/234.1.2.206:5001
CCTV7,http://kent.dzzkent.top:4022/udp/234.1.3.174:5000
CCTV8,http://kent.dzzkent.top:4022/udp/234.1.2.207:5001
CCTV9,http://kent.dzzkent.top:4022/udp/234.1.3.175:5000
CCTV10,http://kent.dzzkent.top:4022/udp/234.1.3.176:5000
CCTV11,http://kent.dzzkent.top:4022/udp/234.1.3.237:5000
CCTV12,http://kent.dzzkent.top:4022/udp/234.1.3.177:5000
CCTV13,http://kent.dzzkent.top:4022/udp/234.1.3.71:5000
CCTV14,http://kent.dzzkent.top:4022/udp/234.1.3.178:5000
CCTV15,http://kent.dzzkent.top:4022/udp/234.1.3.236:5000
CCTV16,http://kent.dzzkent.top:4022/udp/234.1.3.197:5000
CCTV17,http://kent.dzzkent.top:4022/udp/234.1.3.234:5000
CCTV4K,http://kent.dzzkent.top:4022/udp/234.1.3.238:5000
CCTV4欧洲,http://kent.dzzkent.top:4022/udp/234.1.2.159:5000
CCTV4美洲,http://kent.dzzkent.top:4022/udp/234.1.2.158:5000
CCTV5+,http://kent.dzzkent.top:4022/udp/234.1.3.172:5000
北京卫视,http://kent.dzzkent.top:4022/udp/234.1.3.164:5000
天津卫视,http://kent.dzzkent.top:4022/udp/234.1.3.168:5000
黑龙江卫视,http://kent.dzzkent.top:4022/udp/234.1.3.152:5000
吉林卫视,http://kent.dzzkent.top:4022/udp/234.1.3.196:5000
辽宁卫视,http://kent.dzzkent.top:4022/udp/234.1.3.165:5000
河北卫视,http://kent.dzzkent.top:4022/udp/234.1.3.146:5000
河南卫视,http://kent.dzzkent.top:4022/udp/234.1.3.83:5000
山东卫视,http://kent.dzzkent.top:4022/udp/234.1.3.162:5000
山西卫视,http://kent.dzzkent.top:4022/udp/234.1.3.36:5000
湖北卫视,http://kent.dzzkent.top:4022/udp/234.1.3.163:5000
湖南卫视,http://kent.dzzkent.top:4022/udp/234.1.3.151:5000
安徽卫视,http://kent.dzzkent.top:4022/udp/234.1.3.169:5000
江苏卫视,http://kent.dzzkent.top:4022/udp/234.1.3.153:5000
江西卫视,http://kent.dzzkent.top:4022/udp/234.1.3.214:5000
浙江卫视,http://kent.dzzkent.top:4022/udp/234.1.3.154:5000
东方卫视,http://kent.dzzkent.top:4022/udp/234.1.3.155:5000
东南卫视,http://kent.dzzkent.top:4022/udp/234.1.3.160:5000
厦门卫视,http://kent.dzzkent.top:4022/udp/234.1.3.59:5000
海南卫视,http://kent.dzzkent.top:4022/udp/234.1.3.141:5000
三沙卫视,http://kent.dzzkent.top:4022/udp/234.1.3.72:5000
深圳卫视,http://kent.dzzkent.top:4022/udp/234.1.3.158:5000
广东卫视,http://kent.dzzkent.top:4022/udp/234.1.3.159:5000
广西卫视,http://kent.dzzkent.top:4022/udp/234.1.3.52:5000
云南卫视,http://kent.dzzkent.top:4022/udp/234.1.3.23:5000
贵州卫视,http://kent.dzzkent.top:4022/udp/234.1.3.167:5000
重庆卫视,http://kent.dzzkent.top:4022/udp/234.1.3.166:5000
四川卫视,http://kent.dzzkent.top:4022/udp/234.1.3.156:5000
陕西卫视,http://kent.dzzkent.top:4022/udp/234.1.3.31:5000
宁夏卫视,http://kent.dzzkent.top:4022/udp/234.1.3.27:5000
甘肃卫视,http://kent.dzzkent.top:4022/udp/234.1.3.195:5000
青海卫视,http://kent.dzzkent.top:4022/udp/234.1.3.38:5000
西藏卫视,http://kent.dzzkent.top:4022/udp/234.1.3.35:5000
新疆卫视,http://kent.dzzkent.top:4022/udp/234.1.3.34:5000
兵团卫视,http://kent.dzzkent.top:4022/udp/234.1.3.60:5000
内蒙古卫视,http://kent.dzzkent.top:4022/udp/234.1.1.9:5000

CCTV1,http://182.32.159.109:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://182.32.159.109:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://182.32.159.109:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://182.32.159.109:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://182.32.159.109:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://182.32.159.109:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://182.32.159.109:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://182.32.159.109:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://182.32.159.109:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://182.32.159.109:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://182.32.159.109:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://182.32.159.109:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://182.32.159.109:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://182.32.159.109:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://182.32.159.109:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://182.32.159.109:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0

凤凰资讯,http://39.134.184.101:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236197/index.m3u8?IAS
